"Site","months","monthly","Temp_avg","Temp_min","Temp_max","Rain_sum","Pressure_avg","RH_avg","DP_avg","WS_avg","WD_avg","GS_max","SR_avg","WC_avg_15cm","WC_avg_5cm","WC_avg_30cm","ST_avg","W_avg","SD_avg"
"Bednesti Tamarac","Oct","max",15.07,10.07,24.56,6.8,-Inf,98.35,8.89,3.27,-Inf,14.61,-Inf,0.14,0.26,0.63,10.85,-Inf,-Inf
"Bednesti Tamarac","Oct","min",-2.83,-7.84,-0.37,0,Inf,51.55,-6.4,0.13,Inf,3.27,Inf,0.05,0.06,0.04,2.06,Inf,Inf
"Bednesti Tamarac","Oct","obs_na",0,0,0,0,66,0,0,0,66,0,66,0,0,0,0,66,66
"Bednesti Tamarac","Nov","mean",-3.81,-7.05,-0.51,0.98,NA,83.27,-6.36,1.16,NA,7.65,NA,0.09,0.13,0.1,2.04,NA,NA
"Bednesti Tamarac","Nov","max",5.95,4.17,9.19,13.4,-Inf,96.06,5.11,2.91,-Inf,13.6,-Inf,0.14,0.22,0.16,3.28,-Inf,-Inf
"Bednesti Tamarac","Nov","min",-20.86,-26.61,-18.56,0,Inf,60.16,-24.06,0.01,Inf,2.27,Inf,0.04,0.06,0.04,0.84,Inf,Inf
"Bednesti Tamarac","Nov","obs_na",0,0,0,0,60,0,0,0,60,0,60,0,0,0,0,60,60
"Bednesti Tamarac","Dec","mean",-13.71,-17.44,-10.25,0.2,NA,84.08,-15.86,0.94,NA,6.19,NA,0.09,0.12,0.1,0.63,NA,NA
"Bednesti Tamarac","Dec","max",2.48,-1.13,5.57,6.6,-Inf,96.24,0.91,2.56,-Inf,12.84,-Inf,0.14,0.23,0.16,1.92,-Inf,-Inf
"Bednesti Tamarac","Dec","min",-33.18,-37.92,-27.96,0,Inf,67.15,-36.05,0.02,Inf,2.27,Inf,0.05,0.06,0.05,-0.34,Inf,Inf
"Bednesti Tamarac","Dec","obs_na",0,0,0,0,62,0,0,0,62,0,62,0,0,0,0,62,62
"Blackhawk","Jan","mean",-8.16,-14.18,-2.46,0.39,900.36,82.39,-10.91,1,17.08,7.11,25.73,0.04,NA,NA,NA,NA,30.97
"Blackhawk","Jan","max",9.08,7.29,12.94,9,923.82,99.9,0.71,6.79,89.83,25.42,69.2,0.2,-Inf,-Inf,-Inf,-Inf,49.03
"Blackhawk","Jan","min",-36.74,-44.87,-31.77,0,873.73,45.56,-39.13,0,270.67,0,3.43,0,Inf,Inf,Inf,Inf,0
"Blackhawk","Jan","obs_na",0,0,0,0,0,0,0,0,48,0,0,189,345,345,345,345,139
"Blackhawk","Feb","mean",-9.51,-16.55,-3.41,0.23,901.06,78.46,-12.91,1.14,18.1,7.8,57.4,0.04,NA,NA,NA,NA,37.29
"Blackhawk","Feb","max",6.91,4.58,13.91,11,926.06,98.73,2.16,5.06,88.02,18.13,125.61,0.11,-Inf,-Inf,-Inf,-Inf,71.06
"Blackhawk","Feb","min",-37.25,-45.28,-28.47,0,875.85,46.83,-39.77,0,270.68,1.01,8.42,0,Inf,Inf,Inf,Inf,14.07
"Blackhawk","Feb","obs_na",0,0,0,0,0,0,0,0,56,0,0,157,310,310,310,310,132
"Blackhawk","Mar","mean",-5.16,-12.92,1.75,0.42,901.06,74.51,-9.63,1.09,21.17,7.53,114.84,0.07,NA,NA,NA,NA,37.29
"Blackhawk","Mar","max",8.07,3.54,21.08,10.4,925.15,98.99,1.68,5.18,89.32,18.92,226.61,0.26,-Inf,-Inf,-Inf,-Inf,99.99
"Blackhawk","Mar","min",-31.3,-42.32,-22.63,0,880.25,44.7,-36.16,0,270.85,0,11.23,0,Inf,Inf,Inf,Inf,2.75
"Blackhawk","Mar","obs_na",0,0,0,0,0,0,0,0,62,0,0,162,341,341,341,341,127
"Blackhawk","Apr","mean",1.15,-6.39,7.44,0.66,901.27,69.16,-4.84,1.3,24.48,8.44,169.3,0.12,NA,NA,NA,NA,15.2
"Blackhawk","Apr","max",15.98,5.46,25.96,13.6,921.35,100,3.84,5.87,89.15,20.04,276.6,0.25,-Inf,-Inf,-Inf,-Inf,72.69
"Blackhawk","Apr","min",-17.2,-29.72,-9.99,0,877.21,35.16,-20.62,0.06,270.84,3.02,27.86,0.01,Inf,Inf,Inf,Inf,0
"Blackhawk","Apr","obs_na",0,0,0,0,0,0,0,0,60,0,0,150,330,330,330,330,120
"Blackhawk","May","mean",8.63,-0.45,15.8,1.37,903.12,65.31,1.07,1.13,23.81,8.13,209.33,0.12,NA,NA,NA,NA,0.22
"Blackhawk","May","max",19.84,10.61,32.41,27,919.41,99.91,9.88,4.11,89.43,20.41,335.1,0.16,-Inf,-Inf,-Inf,-Inf,8.91
"Blackhawk","May","min",-3.49,-9.4,-0.84,0,887.19,32.53,-11.4,0.04,270.3,2.77,10.61,0.04,Inf,Inf,Inf,Inf,0
"Blackhawk","May","obs_na",0,0,0,0,0,0,0,0,62,0,0,162,348,348,348,348,131
"Blackhawk","Jun","mean",12.55,4.18,18.98,2.38,901.93,67.5,5.59,1.34,21.73,8.62,225.79,0.11,NA,NA,NA,NA,0
"Blackhawk","Jun","max",28.2,14.84,39.86,56.8,914.07,99.66,15.81,4.53,89.2,15.61,348.22,0.16,-Inf,-Inf,-Inf,-Inf,0
"Blackhawk","Jun","min",2.45,-5.51,4.92,0,889.96,37.4,-4.46,0.09,270.09,3.71,27.28,0.04,Inf,Inf,Inf,Inf,0
"Blackhawk","Jun","obs_na",0,0,0,0,0,0,0,0,60,0,0,180,360,360,360,360,150
"Blackhawk","Jul","mean",14.56,6.18,21.36,2.01,904.36,71.3,8.41,1.07,16.13,7.97,211.58,0.11,NA,NA,NA,NA,0
"Blackhawk","Jul","max",22.07,15.82,33.05,44.6,916.28,99.53,15.65,3.43,89.32,14.84,353.38,0.18,-Inf,-Inf,-Inf,-Inf,0
"Blackhawk","Jul","min",5.79,-1.3,8.77,0,891.1,37.23,1.65,0,270.9,1.26,35.67,0.03,Inf,Inf,Inf,Inf,0
"Blackhawk","Jul","obs_na",0,0,0,0,0,0,0,0,62,0,0,199,372,372,372,372,155
"Blackhawk","Aug","mean",13.61,5.25,20.7,1.85,903.74,72.9,7.94,1.03,26.68,8.03,179.03,0.1,NA,NA,NA,NA,0
"Blackhawk","Aug","max",23.45,18.01,31.46,53.01,917.97,99.99,17.14,4.3,87.12,17.25,298.69,0.19,-Inf,-Inf,-Inf,-Inf,0
"Blackhawk","Aug","min",5.51,-3.75,7.89,0,887.47,37,0.91,0.01,270.66,2.52,23.33,0.03,Inf,Inf,Inf,Inf,0
"Blackhawk","Aug","obs_na",0,0,0,0,0,0,0,0,50,0,0,155,372,372,372,372,155
"Blackhawk","Sep","mean",8.42,0.74,15.51,1.11,902.65,76.26,3.66,0.96,27.87,7.78,125.79,0.1,NA,NA,NA,NA,0.06
"Blackhawk","Sep","max",17.73,11.18,30.29,26.8,920.44,100,10.43,3.97,89.97,16.7,225.51,0.17,-Inf,-Inf,-Inf,-Inf,8.54
"Blackhawk","Sep","min",-3.84,-11.61,-2.48,0,879.11,38.47,-5.51,0,271.96,0.25,14.05,0.02,Inf,Inf,Inf,Inf,0
"Blackhawk","Sep","obs_na",0,0,0,0,0,0,0,0,30,0,0,150,360,360,360,360,150
"Blackhawk","Oct","mean",1.85,-4.27,7.71,1.07,901.61,80.72,-1.68,0.87,17.26,7.23,67.71,0.1,NA,NA,NA,NA,2.15
"Blackhawk","Oct","max",14.08,9.85,24.68,23,920.1,100,7.5,4.18,88.2,21.34,138.68,0.16,-Inf,-Inf,-Inf,-Inf,25.83
"Blackhawk","Oct","min",-18.35,-27.71,-13.43,0,880.08,30.69,-19.71,0,272.78,0,6.13,0.02,Inf,Inf,Inf,Inf,0
"Blackhawk","Oct","obs_na",0,0,0,0,0,0,0,0,31,0,0,155,372,372,372,372,149
"Blackhawk","Nov","mean",-5.47,-11.54,0.15,0.45,899.85,84.38,-7.96,0.8,16.8,6.76,33.12,0.1,NA,NA,NA,NA,11.83
"Blackhawk","Nov","max",11.15,4.43,16.53,14,929.98,99.98,3.1,5.56,87.8,20.97,78.78,0.17,-Inf,-Inf,-Inf,-Inf,42.2
"Blackhawk","Nov","min",-28.88,-37.34,-23.52,0,878.19,31.73,-30.85,0,270.38,0,3.99,0,Inf,Inf,Inf,Inf,0
"Blackhawk","Nov","obs_na",0,0,0,0,0,0,0,0,30,0,0,150,360,360,360,360,120
"Blackhawk","Dec","mean",-10.34,-16.58,-4.71,0.1,899.03,83.06,-12.9,0.81,24.93,6.64,19.45,0.05,NA,NA,NA,NA,18.37
"Blackhawk","Dec","max",7.17,3.43,12.82,9.6,929.75,98.91,0.45,4.96,89.97,22.66,48.84,0.14,-Inf,-Inf,-Inf,-Inf,47.93
"Blackhawk","Dec","min",-41.05,-46.42,-30.13,0,871.9,38.98,-43.78,0,270.42,0,2.22,0,Inf,Inf,Inf,Inf,0
"Blackhawk","Dec","obs_na",0,0,0,0,0,0,0,0,31,0,0,170,372,372,372,372,138
"Boulder Creek","Jan","mean",-5,-7.6,-2.36,1.37,963.83,95.13,-5.69,0.13,352.12,-Inf,17.11,0.12,NA,NA,NA,53.42,NA
"Boulder Creek","Jan","max",4,0.93,11.38,24,986.33,100,3.17,1.39,89.98,15.21,69.72,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Jan","min",-32.48,-36.46,-24.88,0,931.48,54.62,-35.87,0,270.5,-Inf,1.13,0,Inf,Inf,Inf,0.47,Inf
"Boulder Creek","Jan","obs_na",0,0,0,31,0,0,0,31,31,0,11,186,372,372,372,31,372
"Boulder Creek","Feb","mean",-5.47,-9.52,-0.68,1.15,965.7,89.57,-7.11,0.21,1.39,-Inf,51.61,0.14,NA,NA,NA,37.71,NA
"Boulder Creek","Feb","max",4.02,0.73,10.25,21.8,991.69,100,3.08,1.51,89.96,11.32,123.63,0.21,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Feb","min",-26.16,-32.67,-16.45,0,936.67,43.65,-28.62,0,270.02,-Inf,3.37,0.01,Inf,Inf,Inf,0,Inf
"Boulder Creek","Feb","obs_na",0,0,0,29,0,0,0,28,28,0,28,170,339,339,339,28,339
"Boulder Creek","Mar","mean",-0.11,-4.92,5.74,0.71,961.95,79.03,-4.06,0.37,0.73,-Inf,106.07,0.15,NA,NA,NA,31.37,NA
"Boulder Creek","Mar","max",7.79,2.46,20.95,10.4,986.11,100,5.27,1.79,89.42,11.87,219.72,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Mar","min",-17.29,-26.11,-14.1,0,937.13,26,-27.24,0,270.03,-Inf,23.64,0.01,Inf,Inf,Inf,0,Inf
"Boulder Creek","Mar","obs_na",0,0,0,31,0,0,0,31,31,0,31,186,372,372,372,31,372
"Boulder Creek","Apr","mean",4.59,-1.33,11.22,1.03,963.24,75.18,-0.55,0.41,352.28,-Inf,160.12,0.17,NA,NA,NA,33.14,NA
"Boulder Creek","Apr","max",13.82,9.03,24.07,15,980.72,100,10.2,1.89,89.75,12.06,293.27,0.23,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Apr","min",-6.65,-14.35,-0.48,0,938.8,37.07,-15.29,0,270.14,-Inf,35.3,0.02,Inf,Inf,Inf,0,Inf
"Boulder Creek","Apr","obs_na",0,0,0,30,0,0,0,30,30,0,30,180,360,360,360,30,360
"Boulder Creek","May","mean",10.76,3.54,17.93,0.99,964.96,71.4,4.28,0.4,357.27,-Inf,218.82,0.14,NA,NA,NA,28.36,NA
"Boulder Creek","May","max",18.61,11.77,30.72,21.4,980.51,100,12.95,1.46,89.5,8.91,346.75,0.2,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","May","min",2.01,-3.85,5.31,0,950.82,30.25,-13.65,0,271.43,-Inf,36.96,0,Inf,Inf,Inf,0,Inf
"Boulder Creek","May","obs_na",0,0,0,31,0,0,0,31,31,0,31,179,372,372,372,31,372
"Boulder Creek","Jun","mean",13.44,6.76,20.11,1.36,964.46,75.51,8.26,0.34,358.79,-Inf,230.73,0.13,NA,NA,NA,33.2,NA
"Boulder Creek","Jun","max",26.02,16.13,37.21,24.4,976.82,100,17.05,1.08,89.33,14.1,364.31,0.21,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Jun","min",6.46,-1.97,10.6,0,948.71,50.94,-0.22,0,270.73,-Inf,56.92,0,Inf,Inf,Inf,0.54,Inf
"Boulder Creek","Jun","obs_na",0,0,0,14,0,0,0,30,30,0,30,158,368,368,368,53,368
"Boulder Creek","Jul","mean",15.67,9.53,22.26,1.28,965.98,79.17,11.37,0.28,357.86,-Inf,205.36,0.1,NA,NA,NA,34.01,NA
"Boulder Creek","Jul","max",24.26,16.87,35.85,24.6,978.95,100,16.86,0.9,89.48,8.72,368.27,0.21,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Jul","min",8.42,1.29,12.16,0,950.98,51.9,5.28,0,270.03,-Inf,0.6,0.01,Inf,Inf,Inf,0.76,Inf
"Boulder Creek","Jul","obs_na",0,0,0,18,0,0,0,12,12,0,37,129,346,346,346,17,346
"Boulder Creek","Aug","mean",14.88,8.58,21.89,1.59,965.41,80.47,10.85,0.28,353.07,3.96,170.32,0.1,NA,NA,NA,40.91,NA
"Boulder Creek","Aug","max",21.61,14.55,32.2,32.8,978.22,100,15.85,0.82,89.4,7.79,293.85,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Aug","min",8.16,-0.15,11.66,0,945.11,46.61,3.58,0,270.84,0.93,33.38,0,Inf,Inf,Inf,0.42,Inf
"Boulder Creek","Aug","obs_na",0,0,0,31,0,0,0,0,0,0,45,152,341,341,341,0,341
"Boulder Creek","Sep","mean",9.96,5.09,16.1,2.04,964.63,89.9,8.1,0.23,346.46,3.43,106.15,0.12,NA,NA,NA,59.87,NA
"Boulder Creek","Sep","max",19.41,14.85,29.66,34,984.37,100,15.72,0.98,88.44,8.16,240.67,0.22,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Sep","min",1.22,-4.59,4.99,0,944.64,57.85,-4.98,0,270.33,0,7.64,0.01,Inf,Inf,Inf,4.24,Inf
"Boulder Creek","Sep","obs_na",0,0,0,30,0,0,0,0,0,0,57,129,321,321,321,0,321
"Boulder Creek","Oct","mean",4.04,0.64,8.42,2.32,963.56,94.11,3.06,0.23,351.29,-Inf,52.76,0.15,NA,NA,NA,68.14,NA
"Boulder Creek","Oct","max",12.53,10.21,20.48,49.6,987.41,100,11.93,1.04,89.97,10.07,152.13,0.25,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Oct","min",-7.1,-11.43,-2.45,0,936.43,64.84,-9.45,0,270.14,-Inf,2.07,0.01,Inf,Inf,Inf,4.39,Inf
"Boulder Creek","Oct","obs_na",0,0,0,31,0,0,0,18,18,0,31,157,343,343,343,18,343
"Boulder Creek","Nov","mean",-1.8,-4.14,0.75,1.86,962.89,95.41,-2.5,0.16,358.52,-Inf,21.59,0.16,NA,NA,NA,63.17,NA
"Boulder Creek","Nov","max",7.48,5.33,10.99,23.8,993.1,100,5.9,1.13,89.38,8.35,67.69,0.23,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Nov","min",-19.51,-22.6,-15.36,0,935,62.71,-19.9,0,270.38,-Inf,1.54,0,Inf,Inf,Inf,1.45,Inf
"Boulder Creek","Nov","obs_na",0,0,0,30,0,0,0,30,30,0,2,180,360,360,360,30,360
"Boulder Creek","Dec","mean",-6.76,-9.6,-4.36,0.71,964.48,95.67,-7.35,0.06,354.55,-Inf,8.8,0.11,NA,NA,NA,52.02,NA
"Boulder Creek","Dec","max",2.84,0.52,5.18,23.4,998.02,100,2.7,0.9,89.9,10.02,21.91,0.24,-Inf,-Inf,-Inf,100,-Inf
"Boulder Creek","Dec","min",-32.86,-35.62,-29.06,0,935.05,66.01,-34.98,0,270.15,-Inf,0.82,0,Inf,Inf,Inf,0.07,Inf
"Boulder Creek","Dec","obs_na",0,0,0,31,0,0,0,31,31,0,0,186,372,372,372,31,372
"Bowron Pit","Jan","mean",-5.15,-10.02,-1.01,1.27,929.52,87.2,-7.1,0.29,343.15,5.35,21.51,0.2,NA,NA,NA,NA,34.43
"Bowron Pit","Jan","max",5.93,3.48,8.17,19.2,948.13,99.96,2.1,2.39,89.46,18.12,60.72,0.26,-Inf,-Inf,-Inf,-Inf,67.71
"Bowron Pit","Jan","min",-37.86,-45.01,-26.49,0,906.03,54.55,-40.67,0,271.72,0,3,0.11,Inf,Inf,Inf,Inf,4.3
"Bowron Pit","Jan","obs_na",0,0,0,0,0,0,0,0,31,0,0,0,127,127,127,127,31
"Bowron Pit","Feb","mean",-8.4,-14.82,-2.39,0.96,933.43,82.59,-11.04,0.25,345.75,5.13,56.89,0.18,NA,NA,NA,NA,39.83
"Bowron Pit","Feb","max",5.57,2.66,9.61,24.8,953.58,99.02,3.46,1.89,88.93,13.59,117.65,0.27,-Inf,-Inf,-Inf,-Inf,63.56
"Bowron Pit","Feb","min",-31.02,-39.22,-22.07,0,916.23,49.99,-33.96,0,271.47,0,7.59,0.09,Inf,Inf,Inf,Inf,20.41
"Bowron Pit","Feb","obs_na",0,0,0,0,0,0,0,0,28,0,0,0,113,113,113,113,28
"Bowron Pit","Mar","mean",-0.98,-7.28,5.47,1.22,931.54,73.57,-5.8,0.44,349.21,6.1,107.03,0.19,NA,NA,NA,NA,38.36
"Bowron Pit","Mar","max",8.04,3.98,19.84,14,950.39,98.7,2.81,1.99,89.36,12.58,219,0.26,-Inf,-Inf,-Inf,-Inf,74.06
"Bowron Pit","Mar","min",-21.67,-34.26,-10.93,0,917.66,42.04,-27.22,0,272.48,2.01,21.4,0.13,Inf,Inf,Inf,Inf,0
"Bowron Pit","Mar","obs_na",0,0,0,0,0,0,0,0,31,0,0,0,124,124,124,124,31
"Bowron Pit","Apr","mean",2.82,-4.02,9.46,1.12,931.61,67.42,-3.7,0.53,348.38,6.58,170.7,0.21,NA,NA,NA,NA,12.29
"Bowron Pit","Apr","max",9.74,6.03,21.99,14,946.54,96.04,8.5,2.12,89.95,15.6,274.98,0.26,-Inf,-Inf,-Inf,-Inf,64.49
"Bowron Pit","Apr","min",-10.9,-18.7,-3.57,0,905.14,40.02,-17.33,0.02,270.5,3.02,54.41,0.16,Inf,Inf,Inf,Inf,0
"Bowron Pit","Apr","obs_na",0,0,0,0,0,0,0,0,30,0,0,0,120,120,120,120,30
"Bowron Pit","May","mean",9.31,1.88,16.02,2.08,930.68,72.26,3.4,0.4,352.21,5.75,199.49,0.24,NA,NA,NA,NA,0.75
"Bowron Pit","May","max",18.84,10.35,28.22,14.8,946.15,96.88,11.8,1.53,85.17,10.57,339.53,0.4,-Inf,-Inf,-Inf,-Inf,11.17
"Bowron Pit","May","min",2.52,-4.14,5.26,0,917.8,44.14,-3.86,0,271.08,3.02,72.28,0.16,Inf,Inf,Inf,Inf,0
"Bowron Pit","May","obs_na",0,0,0,0,0,0,0,0,27,0,0,0,124,124,124,124,31
"Bowron Pit","Jun","mean",13.13,6.03,19.82,2.3,931,75.39,8.05,0.22,343.98,5.42,223.97,0.23,NA,NA,NA,NA,0
"Bowron Pit","Jun","max",27.8,18.06,38.53,23.4,942.06,95.2,17.44,1.26,85.48,11.58,359.37,0.29,-Inf,-Inf,-Inf,-Inf,0
"Bowron Pit","Jun","min",6.45,-1.24,8.22,0,920.55,56.03,1.99,0,270.43,3.52,70.98,0.17,Inf,Inf,Inf,Inf,0
"Bowron Pit","Jun","obs_na",0,0,0,0,0,0,0,0,23,0,0,0,120,120,120,120,30
"Bowron Pit","Jul","mean",15.37,8.8,21.91,2.36,932.42,79.21,11.06,0.14,340.19,4.75,203.96,0.21,NA,NA,NA,NA,0
"Bowron Pit","Jul","max",22.14,14.19,32.48,19.6,938.33,98.62,15.08,0.71,72.05,10.07,342.97,0.29,-Inf,-Inf,-Inf,-Inf,0
"Bowron Pit","Jul","min",10.3,1.91,12.56,0,921.25,52.96,6.6,0,273.25,2.52,50.36,0.13,Inf,Inf,Inf,Inf,0
"Bowron Pit","Jul","obs_na",0,0,0,0,0,0,0,0,31,0,0,0,124,124,124,124,31
"Bowron Pit","Aug","mean",14.58,Inf,-Inf,1.79,932,79.88,10.54,0.11,341.91,-Inf,174.15,0.18,NA,NA,NA,NA,0
"Bowron Pit","Aug","max",21.36,Inf,34.52,18.4,940.42,97.4,16.37,0.38,88.45,11.07,281.23,0.26,-Inf,-Inf,-Inf,-Inf,0
"Bowron Pit","Aug","min",7.03,-0.51,-Inf,0,922.03,58.66,4.66,0,270.48,-Inf,49.41,0.13,Inf,Inf,Inf,Inf,0
"Bowron Pit","Aug","obs_na",2,0,0,2,2,2,2,2,33,0,2,2,126,126,126,126,33
"Bowron Pit","Sep","mean",9.9,Inf,-Inf,2.1,932.25,84.02,6.87,0.18,343.05,-Inf,115.49,0.21,NA,NA,NA,NA,0
"Bowron Pit","Sep","max",17.95,Inf,29.84,28.4,949.89,99.07,12.67,1.13,85.06,11.58,210.82,0.28,-Inf,-Inf,-Inf,-Inf,0
"Bowron Pit","Sep","min",0.35,-7.67,-Inf,0,915.4,60.7,-5.4,0,271.08,-Inf,23.8,0.13,Inf,Inf,Inf,Inf,0
"Bowron Pit","Sep","obs_na",12,0,0,12,12,12,12,12,42,0,12,12,150,150,150,150,60
"Bowron Pit","Oct","mean",3.73,-1.42,9.53,2.01,932.23,85.31,1.15,0.24,343.86,5.28,67.43,0.21,NA,NA,NA,NA,0.16
"Bowron Pit","Oct","max",13.06,9.24,24.22,24,950.33,99.69,10.7,1.7,89.95,17.61,143.01,0.27,-Inf,-Inf,-Inf,-Inf,8.61
"Bowron Pit","Oct","min",-11.41,-17.47,-3.78,0,907.53,56.57,-14.88,0,271.07,1.51,12.22,0.15,Inf,Inf,Inf,Inf,0
"Bowron Pit","Oct","obs_na",0,0,0,0,0,0,0,0,31,0,0,0,155,155,155,155,62
"Bowron Pit","Nov","mean",-1.8,-5.59,1.79,2.83,931.17,89.93,-3.37,0.32,344.5,5.4,24.14,0.22,NA,NA,NA,NA,7.45
"Bowron Pit","Nov","max",10.3,5.92,15.51,32,957.85,99.96,5.31,2.45,89.48,14.09,74.36,0.28,-Inf,-Inf,-Inf,-Inf,40.87
"Bowron Pit","Nov","min",-18.23,-25.9,-13.51,0,908.08,59.09,-21.93,0,270.97,0,2.17,0.12,Inf,Inf,Inf,Inf,0
"Bowron Pit","Nov","obs_na",0,0,0,0,0,0,0,0,30,0,0,0,150,150,150,150,30
"Bowron Pit","Dec","mean",-8.02,-12.7,-3.9,0.92,929.85,88.61,-9.66,0.19,348.41,4.21,15.37,0.18,NA,NA,NA,NA,19.03
"Bowron Pit","Dec","max",6.19,0.66,9.73,28,963.18,99.89,1.3,1.82,89.2,15.1,40.61,0.28,-Inf,-Inf,-Inf,-Inf,48.35
"Bowron Pit","Dec","min",-38.63,-43.81,-30.2,0,902.5,64.83,-41.69,0,272.35,0,2.27,0.09,Inf,Inf,Inf,Inf,0
"Bowron Pit","Dec","obs_na",0,0,0,0,0,0,0,0,31,0,0,0,155,155,155,155,31
"Bulkley","Jan","mean",-5.79,-9.88,-2.21,0.92,944.16,86.5,-7.78,0.33,341.21,3.14,12.12,NA,NA,NA,NA,25.25,NA
"Bulkley","Jan","max",6.73,5.38,8.63,20.2,965.96,100,2.56,1.77,89.55,8.53,33.26,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","Jan","min",-36.24,-43.56,-27.9,0,907.59,52.6,-39.08,0,271.22,0,1.86,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","Jan","obs_na",0,0,0,30,0,0,0,0,0,0,31,462,462,462,462,31,462
"Bulkley","Feb","mean",-5.98,-10.94,-1.13,0.65,944.75,82.74,-8.64,0.35,346.86,3.36,25.36,NA,NA,NA,NA,23.83,NA
"Bulkley","Feb","max",8.64,3.93,13.3,19.2,968.77,100,3.15,1.61,89.43,10.02,53.53,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","Feb","min",-28.14,-35.79,-21.42,0,917.92,46.92,-31.11,0,270.29,0,3.83,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","Feb","obs_na",0,0,0,28,0,0,0,0,0,0,29,396,396,396,396,29,396
"Bulkley","Mar","mean",-0.89,-6.76,5.27,0.64,942.28,74.62,-5.52,0.37,0.77,3.58,55.25,NA,NA,NA,NA,20.77,NA
"Bulkley","Mar","max",9.33,6,20.94,15.2,963.84,100,3.41,1.53,89.61,8.91,197.18,-Inf,-Inf,-Inf,-Inf,99.75,-Inf
"Bulkley","Mar","min",-20.86,-31.19,-16.01,0,912.8,39.25,-25.78,0,271.53,0,11.92,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","Mar","obs_na",0,0,0,31,0,0,0,0,0,0,4,434,434,434,434,31,434
"Bulkley","Apr","mean",4.13,-2.73,11.07,0.96,943.23,69.08,-2.23,0.38,5.27,3.88,98.51,NA,NA,NA,NA,25.89,NA
"Bulkley","Apr","max",16.78,7.54,26.21,16,960.02,100,9.09,1.61,89.8,8.16,241.08,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","Apr","min",-9.31,-19.1,-3.45,0,918.2,28.25,-17.27,0,270.56,0.56,32.6,Inf,Inf,Inf,Inf,0,Inf
"Bulkley","Apr","obs_na",0,0,0,30,0,0,0,0,0,0,0,429,429,429,429,30,429
"Bulkley","May","mean",10.79,2.57,18.48,1.21,944.3,68.72,3.7,0.33,5.39,3.86,152.39,NA,NA,NA,NA,29.82,NA
"Bulkley","May","max",19.51,11.27,31.48,19,959.47,100,12.39,1.19,89.92,7.98,301.71,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","May","min",3.16,-6.74,5.81,0,929.03,32.17,-10.85,0.01,271.03,1.48,20.92,Inf,Inf,Inf,Inf,0.1,Inf
"Bulkley","May","obs_na",0,0,0,10,0,5,5,0,0,0,0,465,465,465,465,31,465
"Bulkley","Jun","mean",13.95,6.21,21.24,1.53,943.68,71.04,7.6,0.29,1.09,3.65,175.59,NA,NA,NA,NA,33.61,NA
"Bulkley","Jun","max",27.88,16.11,39.66,19.2,955.52,100,17.92,1,89.73,7.79,322.6,-Inf,-Inf,-Inf,-Inf,96.53,-Inf
"Bulkley","Jun","min",5.99,-1.97,7.62,0,929.02,45.94,-1.85,0,270.9,1.11,43.85,Inf,Inf,Inf,Inf,1.54,Inf
"Bulkley","Jun","obs_na",0,0,0,14,0,28,28,0,0,0,0,478,478,478,478,12,478
"Bulkley","Jul","mean",16.24,8.64,23.91,1.66,945.7,74.39,10.45,0.24,8.4,3.37,155.17,NA,NA,NA,NA,38.75,NA
"Bulkley","Jul","max",23.42,15.23,35.42,22,957.11,100,15.53,0.94,89.27,7.24,302.11,-Inf,-Inf,-Inf,-Inf,100,-Inf
"Bulkley","Jul","min",9.41,0.29,10.2,0,933.66,43.05,1.73,0,270.15,0.93,48.73,Inf,Inf,Inf,Inf,1.04,Inf
"Bulkley","Jul","obs_na",0,0,0,31,0,26,26,0,0,0,0,496,496,496,496,0,496
"Bulkley","Aug","mean",15.11,Inf,-Inf,1.26,944.92,76.28,9.9,0.23,10.88,3.24,110.41,NA,NA,NA,NA,41.49,NA
"Bulkley","Aug","max",26.94,Inf,34.52,27.6,957.08,99.41,17.17,0.86,89.98,7.24,271.3,-Inf,-Inf,-Inf,-Inf,99.29,-Inf
"Bulkley","Aug","min",7.7,0.52,-Inf,0,929.43,51.9,2.15,0,270.01,0.19,29.57,Inf,Inf,Inf,Inf,1.5,Inf
"Bulkley","Aug","obs_na",7,0,0,2,0,12,12,0,0,0,8,527,527,527,527,40,527
